HITId,candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",symmetry,"[""brake"", ""bathroom""]",67,2,48,6,1.0,0.0,swow,23
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",forage,"[""sack"", ""salad"", ""green""]",0,3,49,6,1.0,0.0,swow,24
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",waste,"[""bathroom"", ""kidney""]",67,2,50,6,1.0,0.0,swow,25
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",efficient,"[""bathroom"", ""kidney""]",67,2,51,6,1.0,0.0,swow,26
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",holder,"[""sack"", ""kidney""]",67,2,52,6,1.0,0.0,swow,27
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",adorn,"[""suit"", ""powder"", ""jewelry""]",50,3,54,6,1.0,0.0,swow,28
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",formal,"[""suit"", ""jewelry""]",67,2,55,6,1.0,0.0,swow,29
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",women,"[""powder"", ""jewelry""]",67,2,56,6,1.0,0.0,swow,30
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",reproduction,"[""lip"", ""egg""]",67,2,66,6,1.0,0.0,swow,31
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",discourse,"[""lip"", ""twitter""]",67,2,67,6,1.0,0.0,swow,32
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",sound,"[""lip"", ""pan""]",67,2,68,6,1.0,0.0,swow,33
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",fry,"[""food"", ""breakfast"", ""pan"", ""egg""]",40,4,70,6,1.0,0.0,swow,34
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",smooth,"[""lip"", ""pan"", ""egg""]",0,3,71,6,1.0,0.0,swow,35
3M93N4X8HK9NUIYS7DYA3ALWZX7JSK,"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",concert,"[""theater"", ""bass""]",67,2,74,5,1.0,0.0,swow,36
3M93N4X8HK9NUIYS7DYA3ALWZX7JSK,"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",harmony,"[""theater"", ""bass""]",67,2,75,5,1.0,0.0,swow,37
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",messy,"[""spit"", ""ketchup""]",100,2,78,5,1.0,0.0,swow,38
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",flavor,"[""ketchup"", ""garlic""]",67,2,79,5,1.0,0.0,swow,39
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",blush,"[""spit"", ""ketchup"", ""garlic""]",50,3,82,5,1.0,0.0,swow,40
34O39PNDK6U5BK034WLOFCXN5QFRBJ,"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",steely,"[""metal"", ""freckles""]",67,2,84,5,1.0,0.0,swow,41
34O39PNDK6U5BK034WLOFCXN5QFRBJ,"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",news,"[""freckles"", ""paper"", ""office""]",50,3,85,5,1.0,0.0,swow,42
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",noggin,"[""art"", ""arachnid"", ""statue""]",50,3,90,6,1.0,0.0,swow,43
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",feel,"[""chest"", ""art"", ""arachnid""]",50,3,91,6,1.0,0.0,swow,44
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",fear,"[""art"", ""arachnid""]",67,2,94,6,1.0,0.0,swow,45
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",blood,"[""chest"", ""lobe"", ""arachnid""]",50,3,95,6,1.0,0.0,swow,46
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",intelligent,"[""male"", ""pig"", ""man""]",0,3,96,6,1.0,0.0,swow,47
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",tasty,"[""pig"", ""salt""]",67,2,97,6,1.0,0.0,swow,48
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",shop,"[""cellphone"", ""street""]",67,2,103,5,1.0,0.0,swow,49
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",tunnel,"[""street"", ""guard""]",67,2,106,5,1.0,0.0,swow,50
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",road,"[""street"", ""guard"", ""road""]",0,3,107,5,1.0,0.0,swow,51
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",entertainment,"[""music"", ""tea party"", ""siren"", ""game""]",40,4,108,6,1.0,0.0,swow,52
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",dishes,"[""tea party"", ""rinse""]",67,2,109,6,1.0,0.0,swow,53
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",sailors,"[""music"", ""siren""]",67,2,110,6,1.0,0.0,swow,54
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",framework,"[""music"", ""tea party""]",100,2,111,6,1.0,0.0,swow,55
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",notes,"[""board"", ""music"", ""game""]",0,3,112,6,1.0,0.0,swow,56
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",karaoke,"[""musician"", ""music"", ""orchestra""]",80,3,114,6,1.0,0.0,swow,57
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",experience,"[""musician"", ""pizza"", ""orchestra""]",80,3,116,6,1.0,0.0,swow,58
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",thought,"[""me"", ""ocean"", ""sky""]",50,3,120,6,1.0,0.0,swow,59
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",wall,"[""ocean"", ""ham""]",100,2,121,6,1.0,0.0,swow,60
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",sky,"[""ocean"", ""sky""]",67,2,123,6,1.0,0.0,swow,61
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",majesty,"[""climb"", ""mountain""]",67,2,126,5,1.0,0.0,swow,62
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",preparation,"[""climb"", ""homework""]",67,2,127,5,1.0,0.0,swow,63
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",work,"[""climb"", ""homework""]",67,2,129,5,0.83,0.24,swow,64
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",outdoors,"[""climb"", ""green"", ""mountain""]",0,3,130,5,1.0,0.0,swow,65
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",planning,"[""climb"", ""homework""]",67,2,131,5,1.0,0.0,swow,66
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",definition,"[""woodwind"", ""thesaurus""]",100,2,134,6,1.0,0.0,swow,67
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",sprouts,"[""sandwich"", ""reed""]",0,2,135,6,1.0,0.0,swow,68
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",play,"[""woodwind"", ""instrument"", ""music""]",50,3,136,6,1.0,0.0,swow,69
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",slick,"[""shirt"", ""coat""]",100,2,139,5,1.0,0.0,swow,70
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",flight,"[""jail"", ""beer"", ""pancake""]",80,3,145,5,1.0,0.0,swow,71
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",regret,"[""jail"", ""beer""]",100,2,147,5,1.0,0.0,swow,72
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",noisy,"[""jail"", ""music""]",67,2,148,5,1.0,0.0,swow,73
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",metal,"[""jail"", ""music"", ""beer""]",50,3,149,5,1.0,0.0,swow,74
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",pool,"[""swamp"", ""blood""]",67,2,151,5,1.0,0.0,swow,75
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",liquid,"[""swamp"", ""cola"", ""blood""]",50,3,152,5,1.0,0.0,swow,76
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",transfusion,"[""organ"", ""blood"", ""red""]",0,3,154,5,0.83,0.24,swow,77
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",internal,"[""organ"", ""blood""]",67,2,155,5,1.0,0.0,swow,78
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",field,"[""forest"", ""slide"", ""ball""]",50,3,157,5,1.0,0.0,swow,79
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",condensation,"[""water"", ""rain""]",0,2,158,5,1.0,0.0,swow,80
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",play,"[""forest"", ""slide"", ""ball""]",50,3,160,5,1.0,0.0,swow,81
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",hair,"[""princess"", ""bats"", ""woman""]",50,3,162,5,1.0,0.0,swow,82
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",soar,"[""bats"", ""jet""]",67,2,163,5,1.0,0.0,swow,83
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",flight,"[""bats"", ""jet""]",0,2,165,5,1.0,0.0,swow,84
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",airborne,"[""bats"", ""jet""]",0,2,167,5,1.0,0.0,swow,85
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",striking,"[""snake"", ""eyebrow""]",0,2,168,5,1.0,0.0,swow,86
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",maneuver,"[""car"", ""snake"", ""driver""]",50,3,169,5,1.0,0.0,swow,87
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",focus,"[""snake"", ""eyebrow"", ""driver""]",0,3,170,5,1.0,0.0,swow,88
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",blue,"[""snake"", ""eyebrow"", ""needle""]",0,3,172,5,1.0,0.0,swow,89
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",stare,"[""snake"", ""eyebrow""]",0,2,173,5,1.0,0.0,swow,90
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",above,"[""wing"", ""island"", ""moon""]",50,3,174,6,1.0,0.0,swow,91
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",light,"[""night"", ""moon""]",100,2,175,6,1.0,0.0,swow,92
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",mare,"[""sleep"", ""moon""]",100,2,179,6,1.0,0.0,swow,93
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",fingerprint,"[""nail"", ""thumb"", ""clap""]",50,3,180,5,1.0,0.0,swow,94
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",pinky,"[""nail"", ""clap""]",0,2,181,5,1.0,0.0,swow,95
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",digits,"[""nail"", ""thumb"", ""clap""]",50,3,182,5,1.0,0.0,swow,96
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",celebrate,"[""nail"", ""clap""]",67,2,183,5,1.0,0.0,swow,97
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",rectangular,"[""wagon"", ""printing"", ""flag""]",50,3,186,6,1.0,0.0,swow,98
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",National,"[""country"", ""flag""]",67,2,187,6,1.0,0.0,swow,99
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",print,"[""country"", ""printing""]",100,2,188,6,1.0,0.0,swow,100
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",carry,"[""wagon"", ""snail""]",0,2,189,6,1.0,0.0,swow,101
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",nation,"[""country"", ""flag""]",0,2,190,6,1.0,0.0,swow,102
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",cartridge,"[""wagon"", ""printing""]",67,2,191,6,1.0,0.0,swow,103
33W1NHWFYH7E9XGBEZ6M1958KEYTZ4,"[""pottery"", ""restaurant"", ""pea"", ""bullet"", ""square""]",contain,"[""pottery"", ""pea"", ""bullet""]",50,3,202,5,1.0,0.0,swow,104
33W1NHWFYH7E9XGBEZ6M1958KEYTZ4,"[""pottery"", ""restaurant"", ""pea"", ""bullet"", ""square""]",dimple,"[""pottery"", ""pea""]",67,2,203,5,1.0,0.0,swow,105
3ATYLI1PRTO8WQ6Z0WH1J5BV284JON,"[""money"", ""hunter"", ""treasure"", ""teaspoon"", ""golf""]",hobby,"[""hunter"", ""golf""]",67,2,207,5,1.0,0.0,swow,106
3MDWE879UHOZ7K4HAFL2ORXTZ49B9G,"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",lazy,"[""spam"", ""bed""]",67,2,213,5,1.0,0.0,swow,107
3MDWE879UHOZ7K4HAFL2ORXTZ49B9G,"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",support,"[""bed"", ""cradle""]",67,2,215,5,1.0,0.0,swow,108
3W0KKJIARRV0MIP1B0SHNYL82S08K8,"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",carbohydrate,"[""ice cream"", ""rice""]",67,2,218,5,1.0,0.0,swow,109
3W0KKJIARRV0MIP1B0SHNYL82S08K8,"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",nourishment,"[""ice cream"", ""rice""]",67,2,219,5,1.0,0.0,swow,110
3W0KKJIARRV0MIP1B0SHNYL82S08K8,"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",onepercent,"[""gold"", ""money""]",67,2,220,5,1.0,0.0,swow,111
3W0KKJIARRV0MIP1B0SHNYL82S08K8,"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",goonies,"[""gold"", ""wave"", ""money""]",50,3,221,5,1.0,0.0,swow,112
306W7JMRYYKZTFL75NFOOV2IFYRB8R,"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",dreamy,"[""curly"", ""woman"", ""grease""]",0,3,222,6,1.0,0.0,swow,113
306W7JMRYYKZTFL75NFOOV2IFYRB8R,"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",broad,"[""curly"", ""woman"", ""grease""]",50,3,223,6,1.0,0.0,swow,114
306W7JMRYYKZTFL75NFOOV2IFYRB8R,"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",eyebrow,"[""curly"", ""woman"", ""grease""]",50,3,224,6,0.83,0.24,swow,115
306W7JMRYYKZTFL75NFOOV2IFYRB8R,"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",red,"[""blood"", ""curly"", ""pad"", ""grease""]",67,4,225,6,1.0,0.0,swow,116
306W7JMRYYKZTFL75NFOOV2IFYRB8R,"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",primp,"[""curly"", ""woman""]",67,2,227,6,1.0,0.0,swow,117
3LB1BGHFL2IE4766ID43N2W6EKUTYD,"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",coat,"[""wax"", ""nail"", ""wood""]",50,3,229,6,1.0,0.0,swow,118
3LB1BGHFL2IE4766ID43N2W6EKUTYD,"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",note,"[""shoe"", ""cradle"", ""list""]",80,3,230,6,1.0,0.0,swow,119
3LB1BGHFL2IE4766ID43N2W6EKUTYD,"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",mod,"[""nail"", ""shoe""]",100,2,232,6,1.0,0.0,swow,120
3LB1BGHFL2IE4766ID43N2W6EKUTYD,"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",smooth,"[""wax"", ""nail"", ""wood""]",0,3,233,6,1.0,0.0,swow,121
351S7I5UG9IQE56NZHHO4GBQCYZJN8,"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",body,"[""ashes"", ""body"", ""dead""]",50,3,234,6,1.0,0.0,swow,122
351S7I5UG9IQE56NZHHO4GBQCYZJN8,"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",entertainment,"[""ashes"", ""dead""]",67,2,235,6,1.0,0.0,swow,123
351S7I5UG9IQE56NZHHO4GBQCYZJN8,"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",digest,"[""body"", ""leftovers""]",100,2,236,6,1.0,0.0,swow,124
351S7I5UG9IQE56NZHHO4GBQCYZJN8,"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",violent,"[""ashes"", ""dead""]",67,2,239,6,1.0,0.0,swow,125
3DW3BNF1GH4E2TJDA46OP7WPIQ7V8H,"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",burn,"[""spaceship"", ""stomach""]",100,2,241,5,1.0,0.0,swow,126
3DW3BNF1GH4E2TJDA46OP7WPIQ7V8H,"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",inform,"[""letter"", ""stomach""]",0,2,244,5,1.0,0.0,swow,127
3DW3BNF1GH4E2TJDA46OP7WPIQ7V8H,"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",consume,"[""food"", ""gravy"", ""stomach""]",0,3,245,5,1.0,0.0,swow,128
